,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,snap_id,maven_id,maven_url,dnf_id,yay_id,new_addition
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-08-19 13:14:15.000000,2024-08-19 10:04:57,33187.0,676.0,4996.0,347.0,11179.0,1523.0,8698.0,12837.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1668.0,50,True,2024-06-24 20:43:11,1.14.0,92.0,scipy,conda-forge/scipy,,,409985.0,121598290.0,1070685.0,1070685.0,https://pypi.org/project/scipy,120456780.0,https://anaconda.org/conda-forge/scipy,2024-08-17 04:34:10.028,51198746.0,1.0,,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-08-19 08:48:49.000000,2024-08-18 17:18:36,50929.0,531.0,7373.0,596.0,18275.0,1203.0,9229.0,19835.0,matplotlib: plotting with Python.,1713.0,48,True,2024-08-13 00:10:52,3.9.2,87.0,matplotlib,conda-forge/matplotlib,,,,70985728.0,1300481.0,1300481.0,https://pypi.org/project/matplotlib,70479019.0,https://anaconda.org/conda-forge/matplotlib,2024-08-15 23:10:55.726,25335469.0,1.0,,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-08-19 13:16:26.000000,2024-08-19 11:41:21,18305.0,450.0,2077.0,220.0,5006.0,83.0,3053.0,12018.0,Python Imaging Library (Fork).,474.0,48,True,2024-07-01 09:51:39,10.4.0,56.0,Pillow,conda-forge/pillow,,,,111846780.0,1788210.0,1788210.0,https://pypi.org/project/Pillow,110970300.0,https://anaconda.org/conda-forge/pillow,2024-07-02 08:21:06.154,42947561.0,1.0,,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-08-19 12:22:06.000000,2024-08-19 10:53:29,58659.0,835.0,4295.0,293.0,13340.0,4403.0,8831.0,12693.0,A computer algebra system written in pure Python.,1320.0,47,False,2024-08-11 16:59:00,1.13.2,54.0,sympy,conda-forge/sympy,,,546324.0,27251083.0,161756.0,161756.0,https://pypi.org/project/sympy,27123044.0,https://anaconda.org/conda-forge/sympy,2024-08-12 22:08:15.340,6320579.0,1.0,,,,,,,,,,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-08-19 06:45:20.000000,2024-08-17 02:38:43,6552.0,216.0,2919.0,316.0,4760.0,890.0,3540.0,34065.0,Streamlit A faster way to build and share data apps.,237.0,46,True,2024-08-05 18:59:25,1.37.1,82.0,streamlit,,,,,5187653.0,476971.0,476971.0,https://pypi.org/project/streamlit,5187653.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-08-19 09:37:33.000000,2024-08-19 08:50:37,7040.0,191.0,8195.0,913.0,5458.0,380.0,4870.0,25998.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",648.0,46,True,2024-07-30 22:22:27,2.1.1,59.0,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,10351.0,20384465.0,103640.0,103640.0,https://pypi.org/project/xgboost,20279667.0,https://anaconda.org/conda-forge/xgboost,2024-07-31 20:50:37.242,5131107.0,1.0,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-08-19 13:18:33.000000,2024-08-19 13:10:17,22427.0,760.0,5435.0,477.0,28687.0,3409.0,14804.0,32692.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1058.0,45,True,2024-07-31 18:02:13,ray-2.34.0,92.0,ray,conda-forge/ray-tune,,,233.0,3742872.0,17267.0,17267.0,https://pypi.org/project/ray,3735756.0,https://anaconda.org/conda-forge/ray-tune,2024-07-26 09:56:38.166,313056.0,1.0,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-08-19 13:10:21.000000,2024-08-19 11:28:44,22517.0,1704.0,2651.0,324.0,14929.0,1300.0,4124.0,29539.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",735.0,45,True,2024-07-30 00:10:18,jax-v0.4.31,100.0,jax,conda-forge/jaxlib,,,,3382151.0,28930.0,28930.0,https://pypi.org/project/jax,3351541.0,https://anaconda.org/conda-forge/jaxlib,2024-08-02 04:00:13.984,1530545.0,1.0,,,,,,,,,,,,,,,,,,,,
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-08-19 13:11:26.000000,2024-08-19 12:31:17,50485.0,2057.0,5382.0,716.0,49100.0,950.0,17273.0,21993.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1256.0,45,True,2024-06-27 10:00:34,3.0.0-beta0,63.0,paddlepaddle,,,['paddle'],15384.0,278549.0,5696.0,5696.0,https://pypi.org/project/paddlepaddle,278389.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-08-19 05:15:13.000000,2024-08-15 22:16:43,10412.0,120.0,3271.0,247.0,10252.0,728.0,6291.0,27788.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",969.0,44,True,2024-08-07 09:44:30,2.4.0,118.0,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],8222.0,5657026.0,35548.0,35548.0,https://pypi.org/project/pytorch-lightning,5632034.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1238818.0,1.0,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-08-19 09:09:42.000000,2024-08-19 09:09:42,6375.0,473.0,3981.0,296.0,8879.0,1258.0,2541.0,18170.0,Open source platform for the machine learning lifecycle.,758.0,44,True,2024-08-06 13:31:00,2.15.1,99.0,mlflow,conda-forge/mlflow,,,,16214983.0,40761.0,40761.0,https://pypi.org/project/mlflow,16171643.0,https://anaconda.org/conda-forge/mlflow,2024-08-15 14:12:31.720,2167029.0,1.0,,,,,,,,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-08-13 13:27:24.000000,2024-08-07 21:34:06,6575.0,79.0,2488.0,273.0,1678.0,474.0,2432.0,15879.0,The interactive graphing library for Python This project now includes Plotly Express!.,264.0,44,True,2024-07-23 13:47:17,5.23.0,101.0,plotly,conda-forge/plotly,,,,16765081.0,293969.0,293969.0,https://pypi.org/project/plotly,16628191.0,https://anaconda.org/conda-forge/plotly,2024-07-23 18:15:11.823,6675767.0,1.0,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,5993.0,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-08-19 13:13:56.000000,2024-08-19 13:13:55,8282.0,82.0,1660.0,211.0,5926.0,896.0,4232.0,12335.0,Parallel computing with task scheduling.,605.0,44,True,2024-08-16 22:14:08,2024.8.1,11.0,dask,conda-forge/dask,,,,10840047.0,63473.0,63473.0,https://pypi.org/project/dask,10840047.0,https://anaconda.org/conda-forge/dask,,,1.0,,,,,,,,,,stable/dask,,,,,,,,,,
23,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-08-15 19:59:51.000000,2024-08-15 19:59:51,15376.0,36.0,2681.0,282.0,3907.0,2648.0,2772.0,9913.0,Statsmodels: statistical modeling and econometrics in Python.,433.0,44,True,2024-04-17 08:07:37,0.14.2,27.0,statsmodels,conda-forge/statsmodels,,,33.0,15694942.0,132836.0,132836.0,https://pypi.org/project/statsmodels,15406337.0,https://anaconda.org/conda-forge/statsmodels,2024-05-17 10:41:00.825,14430266.0,1.0,,,,,,,,,,,,,,,,,,,,
24,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-08-17 19:28:53.337000,2024-08-17 18:11:18,10887.0,201.0,18727.0,1912.0,7379.0,214.0,11838.0,61470.0,Deep Learning for humans.,1322.0,43,True,2024-08-12 20:41:44,3.5.0,70.0,keras,conda-forge/keras,https://keras.io,['tensorflow'],,13653705.0,,,https://pypi.org/project/keras,13580624.0,https://anaconda.org/conda-forge/keras,2024-08-17 19:28:53.337,3654063.0,2.0,,,,,,,,,,,,,,,,,,,,
25,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-08-19 13:20:37.000000,2024-08-19 10:00:03,6975.0,339.0,2323.0,165.0,4139.0,516.0,4104.0,31638.0,"Wrap UIs around any model, share with anyone.",321.0,43,True,2024-08-08 10:28:25,@gradio/video@0.10.2,100.0,gradio,,,,,6751503.0,38282.0,38282.0,https://pypi.org/project/gradio,6751503.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-08-01 20:10:25.000000,2024-06-26 07:41:23,16134.0,3.0,4266.0,561.0,4008.0,110.0,5510.0,29508.0,Industrial-strength Natural Language Processing (NLP) in Python.,751.0,43,True,2024-06-05 07:57:36,3.7.5,100.0,spacy,conda-forge/spacy,,,,9705082.0,96387.0,96387.0,https://pypi.org/project/spacy,9627805.0,https://anaconda.org/conda-forge/spacy,2024-07-29 11:52:18.238,3863883.0,1.0,,,,,,,,,,,,,,,,,,,,
27,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-08-19 13:03:21.000000,2024-08-17 23:59:38,2735.0,78.0,3157.0,238.0,934.0,779.0,1736.0,22316.0,A game theoretic approach to explain the output of any machine learning model.,244.0,43,True,2024-06-27 10:06:50,0.46.0,55.0,shap,conda-forge/shap,,,,6853519.0,19550.0,19550.0,https://pypi.org/project/shap,6773090.0,https://anaconda.org/conda-forge/shap,2024-05-08 21:55:59.406,3538918.0,1.0,,,,,,shap/shap,,,,,,,,,,,,,,
28,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-08-16 18:36:56.000000,2024-08-14 21:28:11,20572.0,75.0,4125.0,444.0,6137.0,724.0,6965.0,19162.0,"Interactive Data Visualization in the browser, from Python.",698.0,43,True,,,63.0,bokeh,conda-forge/bokeh,,,,4572661.0,91166.0,91166.0,https://pypi.org/project/bokeh,4279868.0,https://anaconda.org/conda-forge/bokeh,2024-07-26 10:16:13.491,14639694.0,1.0,,,,,,,,,,,,,,,,,,,,
29,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-08-19 03:53:16.000000,2024-08-01 17:43:24,2781.0,48.0,3584.0,438.0,3295.0,292.0,2482.0,17508.0,Open standard for machine learning interoperability.,320.0,43,True,2024-08-01 13:15:32,1.16.2,30.0,onnx,conda-forge/onnx,,,21455.0,5561168.0,31916.0,31916.0,https://pypi.org/project/onnx,5538022.0,https://anaconda.org/conda-forge/onnx,2024-08-02 08:47:29.691,1144276.0,1.0,,,,,,,,,,,,,,,,,,,,
30,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-08-19 12:16:42.000000,2024-08-16 05:44:44,3556.0,86.0,3741.0,434.0,3232.0,326.0,3046.0,16475.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",314.0,43,True,2024-07-25 22:10:25,4.5.0,33.0,lightgbm,conda-forge/lightgbm,,,232220.0,9321565.0,36253.0,36253.0,https://pypi.org/project/lightgbm,9265378.0,https://anaconda.org/conda-forge/lightgbm,2024-08-02 18:29:39.160,2516805.0,2.0,,,,,,,,,,,,,,,,,,,,
31,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-08-19 02:41:22.000000,2024-08-19 01:38:31,14672.0,140.0,2766.0,463.0,1482.0,260.0,1537.0,13361.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,461.0,43,True,,,19.0,nltk,conda-forge/nltk,,,,19950579.0,298006.0,298006.0,https://pypi.org/project/nltk,19884482.0,https://anaconda.org/conda-forge/nltk,2024-08-18 23:14:52.073,2710010.0,1.0,,,,,,,,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-08-19 10:07:00.000000,2024-08-19 10:05:31,4959.0,68.0,2048.0,1680.0,4820.0,295.0,2705.0,12008.0,WebGL2 powered visualization framework.,268.0,43,True,2024-08-09 08:08:35,9.0.27,100.0,pydeck,conda-forge/pydeck,,['jupyter'],,4962142.0,7946.0,7946.0,https://pypi.org/project/pydeck,4236362.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,589476.0,1.0,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,714864.0,,,,,,,,,,,
33,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-08-13 19:22:44.000000,2024-07-24 19:27:39,7561.0,80.0,1988.0,417.0,1096.0,413.0,1331.0,21062.0,Data Apps & Dashboards for Python. No JavaScript Required.,158.0,42,True,2024-06-12 15:55:56,2.17.1,108.0,dash,conda-forge/dash,,,76.0,3006185.0,67507.0,67507.0,https://pypi.org/project/dash,2977603.0,https://anaconda.org/conda-forge/dash,2024-06-13 04:02:02.712,1429086.0,1.0,,,,,,,,,,,,,,,,,,,,
34,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-08-19 12:48:51.000000,2024-08-17 11:56:05,7761.0,73.0,3118.0,281.0,3854.0,177.0,3015.0,14614.0,Network Analysis in Python.,737.0,42,False,2024-04-06 13:09:07,networkx-3.3,56.0,networkx,conda-forge/networkx,,,71.0,60221801.0,283691.0,283691.0,https://pypi.org/project/networkx,59863485.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,17199174.0,1.0,,,,,,,,,,,,,,,,,,,,
35,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-08-14 20:01:50.000000,2024-07-22 11:32:48,3237.0,3.0,1832.0,261.0,1119.0,144.0,2397.0,12328.0,Statistical data visualization in Python.,213.0,42,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,416.0,17620729.0,453690.0,453690.0,https://pypi.org/project/seaborn,17424849.0,https://anaconda.org/conda-forge/seaborn,2024-04-30 16:33:12.611,9793851.0,1.0,,,,,,,,,,,,,,,,,,,,
36,Altair,altair-viz/altair,data-viz,,https://github.com/vega/altair,https://github.com/vega/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-08-19 10:12:43.000000,2024-08-18 18:18:40,3745.0,80.0,750.0,143.0,1446.0,177.0,1799.0,9144.0,Declarative statistical visualization library for Python.,170.0,42,True,2024-08-11 08:22:24,5.4.0,29.0,altair,conda-forge/altair,,,171.0,21561318.0,154420.0,154420.0,https://pypi.org/project/altair,21487086.0,https://anaconda.org/conda-forge/altair,2024-08-11 16:19:05.207,2375402.0,1.0,,,,,,vega/altair,,,,,,,,,,,,,,
37,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2024-08-16 23:24:08.000000,2024-08-16 20:42:59,6812.0,283.0,637.0,57.0,4893.0,866.0,2387.0,8780.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,187.0,42,True,2024-08-15 22:37:49,0.17.7,100.0,wandb,conda-forge/wandb,,,268.0,13120825.0,51981.0,51981.0,https://pypi.org/project/wandb,13108896.0,https://anaconda.org/conda-forge/wandb,2024-06-27 19:54:28.094,584315.0,1.0,,,,,,wandb/wandb,,,,,,,,,,,,,,
38,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-08-16 19:11:14.000000,2024-08-16 19:03:46,5853.0,21.0,1617.0,193.0,5024.0,618.0,1237.0,6646.0,TensorFlows Visualization Toolkit.,320.0,42,True,2024-08-14 18:18:37,2.17.1,62.0,tensorboard,conda-forge/tensorboard,,['tensorflow'],,21346459.0,253797.0,253797.0,https://pypi.org/project/tensorboard,21248011.0,https://anaconda.org/conda-forge/tensorboard,2024-08-15 09:13:38.483,4922423.0,1.0,,,,,,,,,,,,,,,,,,,,
39,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-08-18 02:43:36.000000,2024-08-14 17:07:21,14074.0,79.0,2149.0,186.0,4452.0,561.0,2096.0,5998.0,Image processing in Python.,668.0,42,False,2024-06-18 19:05:37,0.24.0,32.0,scikit-image,conda-forge/scikit-image,,,,14007475.0,192422.0,192422.0,https://pypi.org/project/scikit-image,13873774.0,https://anaconda.org/conda-forge/scikit-image,2024-08-17 02:34:14.270,6685051.0,1.0,,,,,,,,,,,,,,,,,,,,
40,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-08-19 09:31:32.000000,2024-08-19 04:28:50,2430.0,128.0,3886.0,340.0,2880.0,1089.0,1823.0,34374.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",333.0,41,True,2024-08-15 18:04:31,0.14.5,77.0,deepspeed,,,['pytorch'],,489572.0,8356.0,8356.0,https://pypi.org/project/deepspeed,489239.0,,,,1.0,deepspeed/deepspeed,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,18316.0,,,,,,,,,,,,,,,
41,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-08-17 18:23:17.000000,2024-08-14 15:47:02,2416.0,145.0,4573.0,311.0,507.0,48.0,850.0,31159.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",148.0,41,True,2024-07-29 05:18:26,1.0.8,58.0,timm,conda-forge/timm,,['pytorch'],6906823.0,5619436.0,34499.0,34499.0,https://pypi.org/project/timm,5505526.0,https://anaconda.org/conda-forge/timm,2024-07-30 20:04:33.509,209638.0,1.0,,,,,,huggingface/pytorch-image-models,,,,,,,,,,,,,,
